num	glyph	pseudo G7-source	description
1	碍	G7-10001.1	简化字总表，第1表第1个字头第1个字样
2	礙	G7-10001.2	简化字总表，第1表第1个字头第2个字样
3	肮	G7-10002.1	简化字总表，第1表第2个字头第1个字样
4	骯	G7-10002.2	简化字总表，第1表第2个字头第2个字样
5	袄	G7-10003.1	简化字总表，第1表第3个字头第1个字样
6	襖	G7-10003.2	简化字总表，第1表第3个字头第2个字样
7	坝	G7-10004.1	简化字总表，第1表第4个字头第1个字样
8	壩	G7-10004.2	简化字总表，第1表第4个字头第2个字样
9	板	G7-10005.1	简化字总表，第1表第5个字头第1个字样
10	闆	G7-10005.2	简化字总表，第1表第5个字头第2个字样
11	办	G7-10006.1	简化字总表，第1表第6个字头第1个字样
12	辦	G7-10006.2	简化字总表，第1表第6个字头第2个字样
13	帮	G7-10007.1	简化字总表，第1表第7个字头第1个字样
14	幫	G7-10007.2	简化字总表，第1表第7个字头第2个字样
15	宝	G7-10008.1	简化字总表，第1表第8个字头第1个字样
16	寶	G7-10008.2	简化字总表，第1表第8个字头第2个字样
17	报	G7-10009.1	简化字总表，第1表第9个字头第1个字样
18	報	G7-10009.2	简化字总表，第1表第9个字头第2个字样
19	币	G7-10010.1	简化字总表，第1表第10个字头第1个字样
20	幣	G7-10010.2	简化字总表，第1表第10个字头第2个字样
21	毙	G7-10011.1	简化字总表，第1表第11个字头第1个字样
22	斃	G7-10011.2	简化字总表，第1表第11个字头第2个字样
23	标	G7-10012.1	简化字总表，第1表第12个字头第1个字样
24	標	G7-10012.2	简化字总表，第1表第12个字头第2个字样
25	表	G7-10013.1	简化字总表，第1表第13个字头第1个字样
26	錶	G7-10013.2	简化字总表，第1表第13个字头第2个字样
27	别	G7-10014.1	简化字总表，第1表第14个字头第1个字样
28	彆	G7-10014.2	简化字总表，第1表第14个字头第2个字样
29	卜	G7-10015.1	简化字总表，第1表第15个字头第1个字样
30	蔔	G7-10015.2	简化字总表，第1表第15个字头第2个字样
31	补	G7-10016.1	简化字总表，第1表第16个字头第1个字样
32	補	G7-10016.2	简化字总表，第1表第16个字头第2个字样
33	才	G7-10017.1	简化字总表，第1表第17个字头第1个字样
34	纔	G7-10017.2	简化字总表，第1表第17个字头第2个字样
35	蚕	G7-10018.1	简化字总表，第1表第18个字头第1个字样
36	蠶	G7-10018.2	简化字总表，第1表第18个字头第2个字样
37	灿	G7-10019.1	简化字总表，第1表第19个字头第1个字样
38	燦	G7-10019.2	简化字总表，第1表第19个字头第2个字样
39	层	G7-10020.1	简化字总表，第1表第20个字头第1个字样
40	層	G7-10020.2	简化字总表，第1表第20个字头第2个字样
41	搀	G7-10021.1	简化字总表，第1表第21个字头第1个字样
42	攙	G7-10021.2	简化字总表，第1表第21个字头第2个字样
43	谗	G7-10022.1	简化字总表，第1表第22个字头第1个字样
44	讒	G7-10022.2	简化字总表，第1表第22个字头第2个字样
45	馋	G7-10023.1	简化字总表，第1表第23个字头第1个字样
46	饞	G7-10023.2	简化字总表，第1表第23个字头第2个字样
47	缠	G7-10024.1	简化字总表，第1表第24个字头第1个字样
48	纏	G7-10024.2	简化字总表，第1表第24个字头第2个字样
49	忏	G7-10025.1	简化字总表，第1表第25个字头第1个字样
50	懺	G7-10025.2	简化字总表，第1表第25个字头第2个字样
51	偿	G7-10026.1	简化字总表，第1表第26个字头第1个字样
52	償	G7-10026.2	简化字总表，第1表第26个字头第2个字样
53	厂	G7-10027.1	简化字总表，第1表第27个字头第1个字样
54	廠	G7-10027.2	简化字总表，第1表第27个字头第2个字样
55	彻	G7-10028.1	简化字总表，第1表第28个字头第1个字样
56	徹	G7-10028.2	简化字总表，第1表第28个字头第2个字样
57	尘	G7-10029.1	简化字总表，第1表第29个字头第1个字样
58	塵	G7-10029.2	简化字总表，第1表第29个字头第2个字样
59	衬	G7-10030.1	简化字总表，第1表第30个字头第1个字样
60	襯	G7-10030.2	简化字总表，第1表第30个字头第2个字样
61	称	G7-10031.1	简化字总表，第1表第31个字头第1个字样
62	稱	G7-10031.2	简化字总表，第1表第31个字头第2个字样
63	惩	G7-10032.1	简化字总表，第1表第32个字头第1个字样
64	懲	G7-10032.2	简化字总表，第1表第32个字头第2个字样
65	迟	G7-10033.1	简化字总表，第1表第33个字头第1个字样
66	遲	G7-10033.2	简化字总表，第1表第33个字头第2个字样
67	冲	G7-10034.1	简化字总表，第1表第34个字头第1个字样
68	衝	G7-10034.2	简化字总表，第1表第34个字头第2个字样
69	丑	G7-10035.1	简化字总表，第1表第35个字头第1个字样
70	醜	G7-10035.2	简化字总表，第1表第35个字头第2个字样
71	出	G7-10036.1	简化字总表，第1表第36个字头第1个字样
72	齣	G7-10036.2	简化字总表，第1表第36个字头第2个字样
73	础	G7-10037.1	简化字总表，第1表第37个字头第1个字样
74	礎	G7-10037.2	简化字总表，第1表第37个字头第2个字样
75	处	G7-10038.1	简化字总表，第1表第38个字头第1个字样
76	處	G7-10038.2	简化字总表，第1表第38个字头第2个字样
77	触	G7-10039.1	简化字总表，第1表第39个字头第1个字样
78	觸	G7-10039.2	简化字总表，第1表第39个字头第2个字样
79	辞	G7-10040.1	简化字总表，第1表第40个字头第1个字样
80	辭	G7-10040.2	简化字总表，第1表第40个字头第2个字样
81	聪	G7-10041.1	简化字总表，第1表第41个字头第1个字样
82	聰	G7-10041.2	简化字总表，第1表第41个字头第2个字样
83	丛	G7-10042.1	简化字总表，第1表第42个字头第1个字样
84	叢	G7-10042.2	简化字总表，第1表第42个字头第2个字样
85	担	G7-10043.1	简化字总表，第1表第43个字头第1个字样
86	擔	G7-10043.2	简化字总表，第1表第43个字头第2个字样
87	胆	G7-10044.1	简化字总表，第1表第44个字头第1个字样
88	膽	G7-10044.2	简化字总表，第1表第44个字头第2个字样
89	导	G7-10045.1	简化字总表，第1表第45个字头第1个字样
90	導	G7-10045.2	简化字总表，第1表第45个字头第2个字样
91	灯	G7-10046.1	简化字总表，第1表第46个字头第1个字样
92	燈	G7-10046.2	简化字总表，第1表第46个字头第2个字样
93	邓	G7-10047.1	简化字总表，第1表第47个字头第1个字样
94	鄧	G7-10047.2	简化字总表，第1表第47个字头第2个字样
95	敌	G7-10048.1	简化字总表，第1表第48个字头第1个字样
96	敵	G7-10048.2	简化字总表，第1表第48个字头第2个字样
97	籴	G7-10049.1	简化字总表，第1表第49个字头第1个字样
98	糴	G7-10049.2	简化字总表，第1表第49个字头第2个字样
99	递	G7-10050.1	简化字总表，第1表第50个字头第1个字样
100	遞	G7-10050.2	简化字总表，第1表第50个字头第2个字样
101	点	G7-10051.1	简化字总表，第1表第51个字头第1个字样
102	點	G7-10051.2	简化字总表，第1表第51个字头第2个字样
103	淀	G7-10052.1	简化字总表，第1表第52个字头第1个字样
104	澱	G7-10052.2	简化字总表，第1表第52个字头第2个字样
105	电	G7-10053.1	简化字总表，第1表第53个字头第1个字样
106	電	G7-10053.2	简化字总表，第1表第53个字头第2个字样
107	冬	G7-10054.1	简化字总表，第1表第54个字头第1个字样
108	鼕	G7-10054.2	简化字总表，第1表第54个字头第2个字样
109	斗	G7-10055.1	简化字总表，第1表第55个字头第1个字样
