num	glyph	G8-source	description
1	钖	G8-2D21	GB/T 8565.2—1988，13—01
2	钘	G8-2D22	GB/T 8565.2—1988，13—02
3	铏	G8-2D23	GB/T 8565.2—1988，13—03
4	铓	G8-2D24	GB/T 8565.2—1988，13—04
5	铔	G8-2D25	GB/T 8565.2—1988，13—05
6	铦	G8-2D26	GB/T 8565.2—1988，13—06
7	锳	G8-2D27	GB/T 8565.2—1988，13—07
8	锜	G8-2D28	GB/T 8565.2—1988，13—08
9	锠	G8-2D29	GB/T 8565.2—1988，13—09
10	锧	G8-2D2A	GB/T 8565.2—1988，13—10
11	锽	G8-2D2B	GB/T 8565.2—1988，13—11
12	镃	G8-2D2C	GB/T 8565.2—1988，13—12
13	镮	G8-2D2D	GB/T 8565.2—1988，13—13
14	镴	G8-2D2E	GB/T 8565.2—1988，13—14
15	鲀	G8-2D2F	GB/T 8565.2—1988，13—15
16	鲄	G8-2D30	GB/T 8565.2—1988，13—16
17	鲊	G8-2D31	GB/T 8565.2—1988，13—17
18	鲓	G8-2D32	GB/T 8565.2—1988，13—18
19	鲖	G8-2D33	GB/T 8565.2—1988，13—19
20	鲗	G8-2D34	GB/T 8565.2—1988，13—20
21	鲘	G8-2D35	GB/T 8565.2—1988，13—21
22	鲙	G8-2D36	GB/T 8565.2—1988，13—22
23	鲿	G8-2D37	GB/T 8565.2—1988，13—23
24	鳀	G8-2D38	GB/T 8565.2—1988，13—24
25	鳁	G8-2D39	GB/T 8565.2—1988，13—25
26	鳒	G8-2D3A	GB/T 8565.2—1988，13—26
27	鳛	G8-2D3B	GB/T 8565.2—1988，13—27
28	鳠	G8-2D3C	GB/T 8565.2—1988，13—28
29	鳣	G8-2D3D	GB/T 8565.2—1988，13—29
30	靰	G8-2D3E	GB/T 8565.2—1988，13—30
31	靺	G8-2D3F	GB/T 8565.2—1988，13—31
32	鞡	G8-2D40	GB/T 8565.2—1988，13—32
33	鞮	G8-2D41	GB/T 8565.2—1988，13—33
34	鞨	G8-2D42	GB/T 8565.2—1988，13—34
35	饤	G8-2D43	GB/T 8565.2—1988，13—35
36	饦	G8-2D44	GB/T 8565.2—1988，13—36
