num	glyph	GE-source	description
1	丄	GE-3021	GB/T 16500—1998，16—01
2	丅	GE-3022	GB/T 16500—1998，16—02
3	丒	GE-3023	GB/T 16500—1998，16—03
4	丗	GE-3024	GB/T 16500—1998，16—04
5	丟	GE-3025	GB/T 16500—1998，16—05
6	両	GE-3026	GB/T 16500—1998，16—06
7	丣	GE-3027	GB/T 16500—1998，16—07
8	丮	GE-3028	GB/T 16500—1998，16—08
9	丯	GE-3029	GB/T 16500—1998，16—09
10	丵	GE-302A	GB/T 16500—1998，16—10
11	丼	GE-302B	GB/T 16500—1998，16—11
12	乀	GE-302C	GB/T 16500—1998，16—12
13	乄	GE-302D	GB/T 16500—1998，16—13
14	乆	GE-302E	GB/T 16500—1998，16—14
15	乑	GE-302F	GB/T 16500—1998，16—15
16	乕	GE-3030	GB/T 16500—1998，16—16
17	乗	GE-3031	GB/T 16500—1998，16—17
18	乚	GE-3032	GB/T 16500—1998，16—18
19	乢	GE-3033	GB/T 16500—1998，16—19
20	乧	GE-3034	GB/T 16500—1998，16—20
21	乴	GE-3035	GB/T 16500—1998，16—21
22	乵	GE-3036	GB/T 16500—1998，16—22
23	乷	GE-3037	GB/T 16500—1998，16—23
24	乹	GE-3038	GB/T 16500—1998，16—24
25	亀	GE-3039	GB/T 16500—1998，16—25
26	亁	GE-303A	GB/T 16500—1998，16—26
27	亊	GE-303B	GB/T 16500—1998，16—27
28	亐	GE-303C	GB/T 16500—1998，16—28
29	亖	GE-303D	GB/T 16500—1998，16—29
30	亗	GE-303E	GB/T 16500—1998，16—30
31	亙	GE-303F	GB/T 16500—1998，16—31
32	亜	GE-3040	GB/T 16500—1998，16—32
33	亝	GE-3041	GB/T 16500—1998，16—33
34	亣	GE-3042	GB/T 16500—1998，16—34
35	亯	GE-3043	GB/T 16500—1998，16—35
36	亰	GE-3044	GB/T 16500—1998，16—36
37	亱	GE-3045	GB/T 16500—1998，16—37
38	亴	GE-3046	GB/T 16500—1998，16—38
39	亷	GE-3047	GB/T 16500—1998，16—39
40	亼	GE-3048	GB/T 16500—1998，16—40
41	亾	GE-3049	GB/T 16500—1998，16—41
42	仏	GE-304A	GB/T 16500—1998，16—42
43	仐	GE-304B	GB/T 16500—1998，16—43
44	仦	GE-304C	GB/T 16500—1998，16—44
45	仧	GE-304D	GB/T 16500—1998，16—45
46	仩	GE-304E	GB/T 16500—1998，16—46
47	仭	GE-304F	GB/T 16500—1998，16—47
48	仺	GE-3050	GB/T 16500—1998，16—48
49	仼	GE-3051	GB/T 16500—1998，16—49
50	仾	GE-3052	GB/T 16500—1998，16—50
51	伌	GE-3053	GB/T 16500—1998，16—51
52	伒	GE-3054	GB/T 16500—1998，16—52
53	伔	GE-3055	GB/T 16500—1998，16—53
54	伖	GE-3056	GB/T 16500—1998，16—54
55	伜	GE-3057	GB/T 16500—1998，16—55
56	伬	GE-3058	GB/T 16500—1998，16—56
57	伮	GE-3059	GB/T 16500—1998，16—57
58	伱	GE-305A	GB/T 16500—1998，16—58
59	佀	GE-305B	GB/T 16500—1998，16—59
60	佈	GE-305C	GB/T 16500—1998，16—60
61	佔	GE-305D	GB/T 16500—1998，16—61
62	佦	GE-305E	GB/T 16500—1998，16—62
63	佨	GE-305F	GB/T 16500—1998，16—63
64	佱	GE-3060	GB/T 16500—1998，16—64
65	併	GE-3061	GB/T 16500—1998，16—65
66	侌	GE-3062	GB/T 16500—1998，16—66
