num	glyph	GH-source	description
1	乪	GH-1201	GB/T 15564—1995，1201
2	乸	GH-1202	GB/T 15564—1995，1202
3	佢	GH-1203	GB/T 15564—1995，1203
4	冚	GH-1204	GB/T 15564—1995，1204
5	冧	GH-1205	GB/T 15564—1995，1205
6	劏	GH-1206	GB/T 15564—1995，1206
7	叾	GH-1207	GB/T 15564—1995，1207
8	吔	GH-1208	GB/T 15564—1995，1208
9	吪	GH-1209	GB/T 15564—1995，1209
10	吽	GH-1210	GB/T 15564—1995，1210
11	呥	GH-1211	GB/T 15564—1995，1211
12	咁	GH-1212	GB/T 15564—1995，1212
13	咇	GH-1213	GB/T 15564—1995，1213
14	咗	GH-1214	GB/T 15564—1995，1214
15	哋	GH-1215	GB/T 15564—1995，1215
16	哣	GH-1216	GB/T 15564—1995，1216
17	唂	GH-1217	GB/T 15564—1995，1217
18	唞	GH-1218	GB/T 15564—1995，1218
19	唥	GH-1219	GB/T 15564—1995，1219
20	啋	GH-1220	GB/T 15564—1995，1220
21	啩	GH-1221	GB/T 15564—1995，1221
22	啫	GH-1222	GB/T 15564—1995，1222
23	啱	GH-1223	GB/T 15564—1995，1223
24	啲	GH-1224	GB/T 15564—1995，1224
25	啹	GH-1225	GB/T 15564—1995，1225
26	喐	GH-1226	GB/T 15564—1995，1226
27	喺	GH-1227	GB/T 15564—1995，1227
28	喼	GH-1228	GB/T 15564—1995，1228
29	嗰	GH-1229	GB/T 15564—1995，1229
30	嗱	GH-1230	GB/T 15564—1995，1230
31	嘅	GH-1231	GB/T 15564—1995，1231
32	嘢	GH-1232	GB/T 15564—1995，1232
33	嘥	GH-1233	GB/T 15564—1995，1233
34	噃	GH-1234	GB/T 15564—1995，1234
35	噏	GH-1235	GB/T 15564—1995，1235
36	噚	GH-1236	GB/T 15564—1995，1236
37	嚟	GH-1237	GB/T 15564—1995，1237
38	嚡	GH-1238	GB/T 15564—1995，1238
39	嚤	GH-1239	GB/T 15564—1995，1239
40	嚿	GH-1240	GB/T 15564—1995，1240
41	囖	GH-1241	GB/T 15564—1995，1241
42	埗	GH-1242	GB/T 15564—1995，1242
43	婄	GH-1243	GB/T 15564—1995，1243
44	嫋	GH-1244	GB/T 15564—1995，1244
45	嫲	GH-1245	GB/T 15564—1995，1245
46	孭	GH-1246	GB/T 15564—1995，1246
47	扤	GH-1247	GB/T 15564—1995，1247
48	扱	GH-1248	GB/T 15564—1995，1248
49	扲	GH-1249	GB/T 15564—1995，1249
50	扻	GH-1250	GB/T 15564—1995，1250
51	抌	GH-1251	GB/T 15564—1995，1251
52	捵	GH-1252	GB/T 15564—1995，1252
53	掟	GH-1253	GB/T 15564—1995，1253
54	掹	GH-1254	GB/T 15564—1995，1254
55	揰	GH-1255	GB/T 15564—1995，1255
56	揼	GH-1256	GB/T 15564—1995，1256
57	搲	GH-1257	GB/T 15564—1995，1257
58	擝	GH-1258	GB/T 15564—1995，1258
59	攰	GH-1259	GB/T 15564—1995，1259
60	曱	GH-1260	GB/T 15564—1995，1260
61	氹	GH-1261	GB/T 15564—1995，1261
62	沊	GH-1262	GB/T 15564—1995，1262
63	浭	GH-1263	GB/T 15564—1995，1263
64	淰	GH-1264	GB/T 15564—1995，1264
65	渧	GH-1265	GB/T 15564—1995，1265
66	炆	GH-1266	GB/T 15564—1995，1266
67	烚	GH-1267	GB/T 15564—1995，1267
68	焗	GH-1268	GB/T 15564—1995，1268
69	焾	GH-1269	GB/T 15564—1995，1269
70	煀	GH-1270	GB/T 15564—1995，1270
71	燶	GH-1271	GB/T 15564—1995，1271
72	甴	GH-1272	GB/T 15564—1995，1272
73	癦	GH-1273	GB/T 15564—1995，1273
