num	glyph	GK-source	description
1	乫	GK-6779	GB/T 12052—1989，71—89
2	艍	GK-677A	GB/T 12052—1989，71—90
3	巪	GK-677B	GB/T 12052—1989，71—91
4	乬	GK-677C	GB/T 12052—1989，71—92
5	迲	GK-677D	GB/T 12052—1989，71—93
6	唟	GK-677E	GB/T 12052—1989，71—94
7	蒊	GK-6821	GB/T 12052—1989，72—01
8	廤	GK-6822	GB/T 12052—1989，72—02
9	厼	GK-6823	GB/T 12052—1989，72—03
10	怾	GK-6824	GB/T 12052—1989，72—04
11	櫷	GK-6825	GB/T 12052—1989，72—05
12	莻	GK-6826	GB/T 12052—1989，72—06
13	侤	GK-6827	GB/T 12052—1989，72—07
14	畓	GK-6828	GB/T 12052—1989，72—08
15	獤	GK-6829	GB/T 12052—1989，72—09
16	犜	GK-682A	GB/T 12052—1989，72—10
17	乭	GK-682B	GB/T 12052—1989，72—11
18	朩	GK-682C	GB/T 12052—1989，72—12
19	朰	GK-682D	GB/T 12052—1989，72—13
20	垈	GK-682E	GB/T 12052—1989，72—14
21	襨	GK-682F	GB/T 12052—1989，72—15
22	亽	GK-6830	GB/T 12052—1989，72—16
23	罖	GK-6831	GB/T 12052—1989，72—17
24	卪	GK-6832	GB/T 12052—1989，72—18
25	囕	GK-6833	GB/T 12052—1989，72—19
26	亇	GK-6834	GB/T 12052—1989，72—20
27	旀	GK-6835	GB/T 12052—1989，72—21
28	丆	GK-6836	GB/T 12052—1989，72—22
29	椧	GK-6837	GB/T 12052—1989，72—23
30	乮	GK-6838	GB/T 12052—1989，72—24
31	浌	GK-6839	GB/T 12052—1989，72—25
32	椺	GK-683A	GB/T 12052—1989，72—26
33	巬	GK-683B	GB/T 12052—1989，72—27
34	巭	GK-683C	GB/T 12052—1989，72—28
35	兺	GK-683D	GB/T 12052—1989，72—29
36	榌	GK-683E	GB/T 12052—1989，72—30
37	⿱土卩	GK-683F	GB/T 12052—1989，72—31
38	⿱斜㔾	GK-6840	GB/T 12052—1989，72—32
39	橵	GK-6841	GB/T 12052—1989，72—33
40	虄	GK-6842	GB/T 12052—1989，72—34
41	閪	GK-6843	GB/T 12052—1989，72—35
42	縇	GK-6844	GB/T 12052—1989，72—36
43	鐥	GK-6845	GB/T 12052—1989，72—37
44	螦	GK-6846	GB/T 12052—1989，72—38
45	乺	GK-6847	GB/T 12052—1989，72—39
46	稤	GK-6848	GB/T 12052—1989，72—40
47	媤	GK-6849	GB/T 12052—1989，72—41
48	栍	GK-684A	GB/T 12052—1989，72—42
49	橴	GK-684B	GB/T 12052—1989，72—43
50	乽	GK-684C	GB/T 12052—1989，72—44
51	欌	GK-684D	GB/T 12052—1989，72—45
52	硳	GK-684E	GB/T 12052—1989，72—46
53	猠	GK-684F	GB/T 12052—1989，72—47
54	岾	GK-6850	GB/T 12052—1989，72—48
55	乼	GK-6851	GB/T 12052—1989，72—49
56	逇	GK-6852	GB/T 12052—1989，72—50
57	嗭	GK-6853	GB/T 12052—1989，72—51
58	橻	GK-6854	GB/T 12052—1989，72—52
59	巼	GK-6855	GB/T 12052—1989，72—53
60	乶	GK-6856	GB/T 12052—1989，72—54
61	喸	GK-6857	GB/T 12052—1989，72—55
62	闏	GK-6858	GB/T 12052—1989，72—56
63	哛	GK-6859	GB/T 12052—1989，72—57
64	丷	GK-685A	GB/T 12052—1989，72—58
65	為	GK-685B	GB/T 12052—1989，72—59
66	兯	GK-685C	GB/T 12052—1989，72—60
67	⿱爲卩	GK-685D	GB/T 12052—1989，72—61
68	乤	GK-685E	GB/T 12052—1989，72—62
69	乊	GK-685F	GB/T 12052—1989，72—63
70	乥	GK-6860	GB/T 12052—1989，72—64
71	夻	GK-6861	GB/T 12052—1989，72—65
72	囍	GK-6862	GB/T 12052—1989，72—66
73	遤	GK-6863	GB/T 12052—1989，72—67
74	乛	GK-6864	GB/T 12052—1989，72—68
75	倻	GK-6865	GB/T 12052—1989，72—69
76	羘	GK-6866	GB/T 12052—1989，72—70
77	仒	GK-6867	GB/T 12052—1989，72—71
78	乻	GK-6868	GB/T 12052—1989，72—72
79	欕	GK-6869	GB/T 12052—1989，72—73
80	旕	GK-686A	GB/T 12052—1989，72—74
81	筽	GK-686B	GB/T 12052—1989，72—75
82	昷	GK-686C	GB/T 12052—1989，72—76
83	乯	GK-686D	GB/T 12052—1989，72—77
84	乁	GK-686E	GB/T 12052—1989，72—78
85	厑	GK-686F	GB/T 12052—1989，72—79
86	亪	GK-6870	GB/T 12052—1989，72—80
87	夞	GK-6871	GB/T 12052—1989，72—81
88	穒	GK-6872	GB/T 12052—1989，72—82
89	磗	GK-6873	GB/T 12052—1989，72—83
90	乲	GK-6874	GB/T 12052—1989，72—84
91	硛	GK-6875	GB/T 12052—1989，72—85
92	榋	GK-6876	GB/T 12052—1989，72—86
93	爳	GK-6877	GB/T 12052—1989，72—87
94	鞰	GK-6878	GB/T 12052—1989，72—88
