num	glyph	GT-source	description
1	一	GT-0001	标准电码本，0001
2	丁	GT-0002	标准电码本，0002
3	七	GT-0003	标准电码本，0003
4	丈	GT-0004	标准电码本，0004
5	三	GT-0005	标准电码本，0005
6	上	GT-0006	标准电码本，0006
7	下	GT-0007	标准电码本，0007
8	不	GT-0008	标准电码本，0008
9	丐	GT-0009	标准电码本，0009
10	丑	GT-0010	标准电码本，0010
11	且	GT-0011	标准电码本，0011
12	丕	GT-0012	标准电码本，0012
13	世	GT-0013	标准电码本，0013
14	丙	GT-0014	标准电码本，0014
15	丞	GT-0015	标准电码本，0015
16	丢	GT-0016	标准电码本，0016
17	並	GT-0017	标准电码本，0017
18	丏	GT-0018	标准电码本，0018
19	丨	GT-0019	标准电码本，0019
20	个	GT-0020	标准电码本，0020
21	丫	GT-0021	标准电码本，0021
22	中	GT-0022	标准电码本，0022
23	丰	GT-0023	标准电码本，0023
24	串	GT-0025	标准电码本，0025
25	锕	GT-0026	标准电码本，0026
26	丶	GT-0027	标准电码本，0027
27	锿	GT-0028	标准电码本，0028
28	丸	GT-0029	标准电码本，0029
29	丹	GT-0030	标准电码本，0030
30	主	GT-0031	标准电码本，0031
31	砹	GT-0032	标准电码本，0032
32	丿	GT-0033	标准电码本，0033
33	乂	GT-0034	标准电码本，0034
34	乃	GT-0035	标准电码本，0035
35	久	GT-0036	标准电码本，0036
36	之	GT-0037	标准电码本，0037
37	乍	GT-0038	标准电码本，0038
38	乎	GT-0039	标准电码本，0039
39	乏	GT-0040	标准电码本，0040
40	乖	GT-0041	标准电码本，0041
41	乘	GT-0042	标准电码本，0042
42	桉	GT-0043	标准电码本，0043
43	乙	GT-0044	标准电码本，0044
44	乜	GT-0045	标准电码本，0045
45	九	GT-0046	标准电码本，0046
46	乞	GT-0047	标准电码本，0047
47	也	GT-0048	标准电码本，0048
48	乳	GT-0050	标准电码本，0050
49	乾	GT-0051	标准电码本，0051
50	乱	GT-0052	标准电码本，0052
51	凼	GT-0053	标准电码本，0053
52	亅	GT-0054	标准电码本，0054
53	了	GT-0055	标准电码本，0055
54	予	GT-0056	标准电码本，0056
55	事	GT-0057	标准电码本，0057
56	苯	GT-0058	标准电码本，0058
57	二	GT-0059	标准电码本，0059
