1	阿	2	664	6495	
2	锕	5	4807	8	
3	吖	5	5554	2	
4	啊	2	1292	1986	
5	埃	2	921	3795	
6	挨	3	2004	624	
7	唉	3	2153	492	
8	哎	3	2373	361	
9	哀	4	2547	278	# 按5级字定义，升至4级字。
10	㗒	4	3898	32	# 按5级字定义，升至4级字。
11	癌	4	2708	215	
12	皑	4	3537	54	
13	捱	5	5169	4	
14	矮	3	1587	1188	
15	嗳	4	3511	55	
16	蔼	4	3709	40	
17	毐	5	4679	9	
18	霭	5	5128	5	
19	爱	2	832	4669	
20	碍	3	1466	1456	
21	艾	3	2171	479	
22	隘	4	2470	311	
23	嫒	5	5151	4	
24	安	1	309	17754	
25	氨	3	1760	889	
26	鞍	3	2365	365	
27	桉	4	3445	62	
28	咹	5	4841	7	
29	庵	4	5285	27	# 按附录三，升为4级字。
30	盦	5	6211	1	
31	谙	5	6250	1	
32	鹌	5	6336	1	
33	𩽾	5	6361	1	
34	铵	3	1922	703	
35	俺	3	1973	654	
36	埯	5	4508	12	
37	垵	5	5033	5	
38	按	1	506	9627	
39	案	2	1239	2151	
40	暗	2	1275	2045	
41	岸	3	1511	1348	
42	胺	3	1981	648	
43	黯	5	4369	16	
44	肮	4	3629	46	
45	昂	3	1733	921	
46	盎	4	3670	43	
47	凹	3	1492	1409	
48	熬	4	2666	230	
49	螯	4	3178	101	
50	嗷	4	4074	24	
51	翱	5	4239	19	
52	敖	4	4390	25	# 按附录三，升为4级字。
53	鏖	5	4598	11	
54	鳌	5	5132	5	
55	遨	5	5154	4	
56	袄	4	3457.2	61	
57	拗	4	4061	44	
58	奥	2	1107	2727	
59	澳	3	2208	452	
60	傲	3	2278	405	
61	懊	4	3767	37	
62	坳	4	4169	78	
63	圫	5	5160	4	
64	垇	5	5162	4	
65	鏊	5	6208	1	
66	八	1	403	12744	
67	巴	1	553	8472	
68	叭	3	2572	347	# 按4级字定义，升至3级字。
69	扒	4	2875	165	
70	疤	4	2903	157	
71	笆	4	3454	61	
72	捌	4	3504	57	
73	芭	4	4017	44	
74	粑	5	4322	17	
75	岜	5	5349	3	
76	夿	5	5789	1	
77	拔	2	1295	1979	
78	跋	4	3191	96	
79	菝	5	5966	1	
80	把	1	114	40590	
81	靶	3	2246	423	
82	钯	4	3163	100	
83	霸	3	1373	1701	
84	爸	3	1437	1512	
85	罢	3	1679	1013	
86	坝	3	1890	738	
87	耙	3	2184	468	
88	灞	4	3804	36	
89	鲌	5	5015	6	
90	鲅	5	5767	2	
91	吧	2	866	4323	
92	掰	4	3425	63	
93	白	1	429	11761	
94	百	1	278	19199	
95	摆	2	1052	2976	
96	柏	3	1903	725	
97	佰	5	4827	10	
98	捭	5	5170	4	
99	败	2	1042	3035	
100	拜	3	2169	480	
101	稗	4	2870	166	
102	般	1	421	11915	
103	班	1	515	9366	
104	斑	2	1176	2421	
105	搬	3	1565	1226	
106	扳	3	2018	609	
107	颁	3	2281	404	
108	瘢	5	4255	18	
109	板	1	476	10486	
110	版	2	737	5661	
111	阪	4	3314	75	
112	钣	5	4263	18	# 原文作“鈑”，由于“钣”在2312而“鈑”不在，故改正。
113	坂	4	5032	24	# 按附录三，升为4级字。
114	舨	5	5243	4	
115	办	1	409	12448	
116	半	1	446	11306	
117	拌	3	1436	1515	
118	伴	3	1821	820	
119	瓣	3	2358	367	
120	扮	4	2418	335	
121	绊	4	3277	81	
122	爿	5	5441	3	
123	帮	2	681	6353	
124	邦	3	1651	1070	
125	梆	4	4063	38	
126	浜	4	4386	42	# 按附录三，升为4级字。
127	榜	3	1856	771	
128	膀	3	2285	402	
129	绑	4	2921	153	
130	棒	3	1604	1151	
131	傍	4	2441	324	
132	蚌	4	2766	195	
133	磅	4	2810	182	
134	谤	4	3135	105	
135	镑	4	3558	52	
136	蒡	4	4117	22	
137	塝	5	5586	2	
138	包	2	633	7320	
139	胞	2	851	4431	
140	孢	2	1254	2115	
141	苞	4	2780	190	
142	褒	4	3957	29	
143	雹	3	2179	471	
144	保	1	284	18877	
145	宝	3	1420	1559	
146	饱	3	1545	1267	
147	堡	3	1573	1207	
148	葆	4	4331	44	# 按附录三，升为4级字。
149	媬	5	5939	1	
150	褓	5	6310	1	
151	报	1	279	19020	
152	暴	2	960	3524	
153	爆	2	1283	2029	
154	抱	3	1616	1134	
155	豹	4	2796	185	# 按3级字定义，降至4级字。
156	鲍	4	2953	145	
157	卑	3	1920	704	
158	杯	3	1935	690	
159	悲	3	2137	505	
160	碑	4	2892	160	
161	鹎	5	6335	1	# 原文作“鵯”，由于“鹎”在2312而“鵯”不在，故改正。
162	北	1	323	16611	
163	被	1	332	16211	
164	备	1	455	10992	
165	倍	2	743	5569	
166	背	2	814	4804	
167	贝	3	1476	1438	
168	辈	3	1781	861	
169	钡	4	2648	237	
170	狈	4	3193	95	
171	焙	4	3328	73	
172	惫	4	3848	34	
173	碚	5	4430	14	
174	悖	5	5230	4	
175	⿰月贝	5	6108	1	
176	呗	4	3336	78	
177	奔	3	1600	1159	
178	锛	5	4310	17	
179	𰧆	5	6217	1	
180	本	1	75	49203	
181	苯	3	1704	968	
182	畚	5	4945	7	
183	笨	4	2562	273	
184	崩	3	1938	684	
185	绷	4	3357	71	
186	嘣	5	4921	11	
187	甭	4	3434	63	
188	泵	2	746	5518	
189	蹦	4	3007	131	
190	迸	5	4288	17	
191	逼	3	1994	634	
192	鲾	5	6358	1	
193	鼻	3	1825	816	
194	荸	4	2772	194	
195	比	1	179	28998	
196	笔	2	1343	1801	
197	彼	3	1463	1463	
198	鄙	3	2329	381	
199	秕	4	3025	126	
200	俾	4	3330	86	# 可能有〈文艺〉10次。
201	吡	4	4042	25	
202	匕	5	4819	13	
